location,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Nepal,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,47.782,70.78,0.602
Netherlands,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,,82.28,0.944
New Zealand,37.9,15.322,9.72,36085.843,128.797,8.08,14.8,17.2,,82.29,0.931
Nicaragua,27.3,5.445,3.519,5321.444,137.016,11.47,,,,74.48,0.66
Niger,15.1,2.553,1.378,926.0,238.339,2.42,0.1,15.4,8.978,62.42,0.394
Nigeria,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,41.949,54.69,0.539
North America,,,,,,,,,,,
North Macedonia,39.1,13.26,8.16,13111.214,322.688,10.08,,,,75.8,0.774
Northern Cyprus,,,,,,,,,,,
Norway,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,,82.4,0.957
Oceania,,,,,,,,,,,
Oman,30.7,2.355,1.53,37960.709,266.342,12.61,0.5,15.6,97.4,77.86,0.813
Pakistan,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,59.607,67.27,0.557
Palestine,20.4,3.043,1.726,4449.898,265.91,10.59,,,,74.05,0.708
Panama,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,,78.51,0.815
Papua New Guinea,22.6,3.808,2.142,3823.194,561.494,17.65,23.5,48.8,,64.5,0.555
Paraguay,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,79.602,74.25,0.728
Peru,29.1,7.151,4.455,12236.706,85.755,5.95,4.8,,,76.74,0.777
Philippines,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,78.463,71.23,0.718
Poland,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,,78.73,0.88
Portugal,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,,82.05,0.864
Qatar,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,,80.23,0.848
Romania,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,,76.05,0.828
Russia,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,,72.58,0.824
Rwanda,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,4.617,69.02,0.543
Saint Helena,,,,,,,,,,80.56,
Saint Kitts and Nevis,,,,24654.385,,12.84,,,,76.23,0.779
Saint Lucia,34.9,9.721,6.405,12951.839,204.62,11.62,,,87.202,76.2,0.759
Saint Vincent and the Grenadines,31.8,7.724,4.832,10727.146,252.675,11.62,,,,72.53,0.738
Samoa,22.0,5.606,3.564,6021.557,348.977,9.21,16.7,38.1,,73.32,0.715
San Marino,,,,56861.47,,5.64,,,,84.97,
Sao Tome and Principe,18.7,2.886,2.162,3052.714,270.113,2.42,,,41.34,70.39,0.625
Saudi Arabia,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,,75.13,0.854
Senegal,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,20.859,67.94,0.512
Serbia,41.2,17.366,,14048.881,439.415,10.08,37.7,40.2,97.719,76.0,0.806
Seychelles,36.2,8.606,5.586,26382.287,242.648,10.55,7.1,35.7,,73.4,0.796
Sierra Leone,19.1,2.538,1.285,1390.3,325.721,2.42,8.8,41.3,19.275,54.7,0.452
Singapore,42.4,12.922,7.049,85535.383,92.243,10.99,5.2,28.3,,83.62,0.938
Slovakia,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,,77.54,0.86
Slovenia,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,,81.32,0.917
Solomon Islands,20.8,3.507,2.043,2205.923,459.78,18.68,,,35.89,73.0,0.567
Somalia,16.8,2.731,1.496,,365.769,6.05,,,9.831,57.4,
South Africa,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,43.993,64.13,0.709
South America,,,,,,,,,,,
South Korea,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,,83.03,0.916
South Sudan,19.2,3.441,2.032,1569.888,280.775,10.43,,,,57.85,0.433
Spain,45.5,19.436,13.799,34272.36,99.403,7.17,27.4,31.4,,83.56,0.904
Sri Lanka,34.1,10.069,5.331,11669.077,197.093,10.68,0.3,27.0,,76.98,0.782
Sudan,19.7,3.548,2.034,4466.507,431.388,15.67,,,23.437,65.31,0.51
Suriname,29.6,6.933,4.229,13767.119,258.314,12.54,7.4,42.9,67.779,71.68,0.738
Sweden,41.0,19.985,13.433,46949.283,133.982,4.79,18.8,18.9,,82.8,0.945
Switzerland,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,,83.78,0.955
Syria,21.7,,2.577,,376.264,,,,70.598,72.7,0.567
Taiwan,42.2,,8.353,,103.957,,,,,80.46,
Tajikistan,23.3,3.466,2.155,2896.913,427.698,7.11,,,72.704,71.1,0.668
Tanzania,17.7,3.108,1.874,2683.304,217.288,5.75,3.3,26.7,47.953,65.46,0.529
Thailand,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,90.67,77.15,0.777
Timor,18.0,3.556,1.897,6570.102,335.346,6.86,6.3,78.1,28.178,69.5,0.606
Togo,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,10.475,61.04,0.515
Tonga,22.3,5.82,4.032,5425.621,227.49,15.42,11.8,44.4,,70.91,0.725
Trinidad and Tobago,36.2,10.014,5.819,28763.071,228.467,10.97,,,89.443,73.51,0.796
Tunisia,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,78.687,76.7,0.74
Turkey,31.6,8.153,5.061,25129.341,171.285,12.13,14.1,41.1,,77.69,0.82
Turks and Caicos Islands,,,,,,,,,,80.22,
Uganda,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,21.222,63.37,0.544
Ukraine,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,,72.06,0.779
United Arab Emirates,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,,77.97,0.89
United Kingdom,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,,81.32,0.932
United States,38.3,15.413,9.732,54225.446,151.089,10.79,19.1,24.6,,78.86,0.926
Uruguay,35.6,14.655,10.361,20551.409,160.708,6.93,14.0,19.9,,77.91,0.817
Uzbekistan,28.2,4.469,2.873,6253.104,724.417,7.57,1.3,24.7,,71.72,0.72
Vanuatu,23.1,4.394,2.62,2921.909,546.3,12.02,2.8,34.5,25.209,70.47,0.609
Vatican,,,,,,,,,,75.12,
Venezuela,29.0,6.614,3.915,16745.022,204.85,6.47,,,,72.06,0.711
Vietnam,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,85.847,75.4,0.704
World,30.9,8.696,5.355,15469.207,233.07,8.51,6.434,34.635,60.13,72.58,0.737
Yemen,20.3,2.922,1.583,1479.147,495.003,5.35,7.6,29.2,49.542,66.12,0.47
Zambia,17.7,2.48,1.542,3689.251,234.499,3.94,3.1,24.7,13.938,63.89,0.584
Zimbabwe,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,36.791,61.49,0.571
